,Price,Ampirion Load Forecast,PV+Wind Forecast
2012-01-12 08:00:00,56.42,26318.0,18840.7595
2012-01-12 09:00:00,53.36,27537.5,20630.33325
2012-01-12 10:00:00,49.03,27759.5,22490.6645
2012-01-12 11:00:00,41.04,27220.25,23901.831
2012-01-12 12:00:00,39.35,27153.5,24587.94025
2012-01-12 13:00:00,39.62,26736.5,24714.3945
2012-01-12 14:00:00,39.35,26033.0,24125.6495
2012-01-12 15:00:00,42.43,26973.75,23251.676
2012-01-12 16:00:00,43.39,27275.75,22230.0355
2012-01-12 17:00:00,56.18,28274.5,21525.76
2012-01-12 18:00:00,51.52,28454.0,20723.04
2012-01-12 19:00:00,49.04,27805.0,19823.99
2012-01-12 20:00:00,47.77,26234.75,18702.0125
2012-01-12 21:00:00,46.29,25208.25,17677.7425
2012-01-12 22:00:00,45.54,23481.25,16963.1125
2012-01-12 23:00:00,39.16,21077.75,16702.9075
2012-01-13 00:00:00,23.8,19971.5,16910.12
2012-01-13 01:00:00,18.44,19291.0,16779.7275
2012-01-13 02:00:00,16.38,19236.75,16882.9975
2012-01-13 03:00:00,16.36,19411.25,16972.78
2012-01-13 04:00:00,18.44,20000.75,17285.9175
2012-01-13 05:00:00,25.83,21871.5,17369.3325
2012-01-13 06:00:00,36.74,25074.5,17472.1925
2012-01-13 07:00:00,45.99,27528.0,17596.95
2012-01-13 08:00:00,49.99,28814.0,17856.873
2012-01-13 09:00:00,45.04,28931.25,18972.518
2012-01-13 10:00:00,40.24,29132.5,20412.12325
2012-01-13 11:00:00,39.4,28783.25,21583.6645
2012-01-13 12:00:00,38.97,28373.75,22072.445
2012-01-13 13:00:00,38.89,28019.0,21748.99925
2012-01-13 14:00:00,39.42,27680.75,20535.78925
2012-01-13 15:00:00,44.76,27545.0,18930.76925
2012-01-13 16:00:00,44.11,27820.5,17368.754500000003
2012-01-13 17:00:00,53.43,28246.25,16853.17
2012-01-13 18:00:00,51.58,28088.5,16507.84
2012-01-13 19:00:00,46.93,27440.25,16168.57
2012-01-13 20:00:00,39.74,25411.25,15754.765
2012-01-13 21:00:00,38.36,25377.25,15394.67
2012-01-13 22:00:00,37.75,24710.5,14967.2925
2012-01-13 23:00:00,30.04,22733.5,14710.5075
2012-01-14 00:00:00,30.07,20989.75,13870.205
2012-01-14 01:00:00,28.66,20409.75,13181.965
2012-01-14 02:00:00,28.02,19716.0,12511.85
2012-01-14 03:00:00,29.07,19964.5,11843.545
2012-01-14 04:00:00,29.47,20265.25,11216.9725
2012-01-14 05:00:00,30.73,20152.0,10528.775
2012-01-14 06:00:00,31.21,20209.25,9868.7
2012-01-14 07:00:00,32.1,21117.0,9152.12
2012-01-14 08:00:00,38.21,22659.0,8647.329000000002
2012-01-14 09:00:00,40.15,23747.5,9175.97875
2012-01-14 10:00:00,44.18,24911.25,10318.76925
2012-01-14 11:00:00,46.01,25433.0,11452.9415
2012-01-14 12:00:00,45.53,24969.25,11870.059
2012-01-14 13:00:00,40.13,24886.5,11378.915
2012-01-14 14:00:00,43.69,24254.5,10162.362
2012-01-14 15:00:00,43.38,24186.25,8285.14575
2012-01-14 16:00:00,43.4,24494.75,6552.079750000001
2012-01-14 17:00:00,54.61,25548.25,5903.5075
2012-01-14 18:00:00,62.0,25633.25,5604.33
2012-01-14 19:00:00,51.94,25375.75,5272.625
2012-01-14 20:00:00,45.92,23926.25,4859.905
2012-01-14 21:00:00,38.95,23318.25,4412.435
2012-01-14 22:00:00,44.94,23348.0,3966.8525
2012-01-14 23:00:00,39.09,22062.0,3534.0575
2012-01-15 00:00:00,38.99,20025.25,3290.9925
2012-01-15 01:00:00,38.44,19233.0,2937.78
2012-01-15 02:00:00,37.05,18946.25,2716.9025
2012-01-15 03:00:00,34.55,18276.25,2590.16
2012-01-15 04:00:00,32.73,17840.0,2493.0925
2012-01-15 05:00:00,33.52,17533.0,2414.18
2012-01-15 06:00:00,33.15,16814.75,2222.585
2012-01-15 07:00:00,34.16,17092.25,2010.195
2012-01-15 08:00:00,39.3,17808.5,2010.016
2012-01-15 09:00:00,41.99,18922.25,3005.95775
2012-01-15 10:00:00,41.5,19873.5,4440.05675
2012-01-15 11:00:00,45.14,21020.75,5524.03175
2012-01-15 12:00:00,43.61,21422.75,6020.08525
2012-01-15 13:00:00,39.19,21216.5,5736.84775
2012-01-15 14:00:00,38.4,20893.25,4714.90575
2012-01-15 15:00:00,38.3,20524.25,3036.12125
2012-01-15 16:00:00,39.58,20418.75,1576.66275
2012-01-15 17:00:00,46.65,22378.0,1260.9250000000002
2012-01-15 18:00:00,56.53,23049.0,1277.8925
2012-01-15 19:00:00,56.19,23145.25,1281.73
2012-01-15 20:00:00,51.97,22369.75,1225.6775
2012-01-15 21:00:00,45.57,21971.25,1230.98
2012-01-15 22:00:00,46.7,21951.5,1226.935
2012-01-15 23:00:00,44.76,20676.5,1364.9825
2012-01-16 00:00:00,41.94,18797.5,1354.5275
2012-01-16 01:00:00,39.69,18106.25,1366.2
2012-01-16 02:00:00,38.0,17909.25,1410.3
2012-01-16 03:00:00,33.58,18133.5,1449.64
2012-01-16 04:00:00,33.47,18458.5,1489.9925
2012-01-16 05:00:00,36.12,19842.5,1576.7175
2012-01-16 06:00:00,42.29,23511.0,1594.97
2012-01-16 07:00:00,57.96,26555.75,1616.6699999999998
2012-01-16 08:00:00,60.89,27671.25,2034.4135
2012-01-16 09:00:00,57.05,27517.75,3920.4135
2012-01-16 10:00:00,56.18,27865.75,5958.025500000001
2012-01-16 11:00:00,53.28,28415.5,7299.57175
2012-01-16 12:00:00,53.19,28446.5,7749.30975
2012-01-16 13:00:00,51.9,28366.5,7332.425999999999
2012-01-16 14:00:00,49.08,28292.0,6104.7225
2012-01-16 15:00:00,49.93,27871.25,4159.12575
2012-01-16 16:00:00,52.42,27505.25,2635.6262500000003
2012-01-16 17:00:00,60.16,28979.0,2446.005
2012-01-16 18:00:00,70.45,29186.75,2627.5725
2012-01-16 19:00:00,61.4,28756.0,2919.1925
2012-01-16 20:00:00,53.26,27456.0,3230.29
2012-01-16 21:00:00,45.64,26340.75,3515.55
2012-01-16 22:00:00,46.96,24782.25,3778.985
2012-01-16 23:00:00,43.37,22652.25,4070.9125
2012-01-17 00:00:00,40.14,20769.75,3869.2525
2012-01-17 01:00:00,40.13,20252.25,3968.0625
2012-01-17 02:00:00,39.93,20389.25,4024.8825
2012-01-17 03:00:00,38.6,20369.5,4084.5475
2012-01-17 04:00:00,38.08,20862.0,4054.3525
2012-01-17 05:00:00,40.14,21920.0,3980.5475
2012-01-17 06:00:00,46.63,24998.25,3868.4225
2012-01-17 07:00:00,57.39,27453.5,3694.5925
2012-01-17 08:00:00,59.28,28494.5,3686.336
2012-01-17 09:00:00,57.98,28246.5,4604.12575
2012-01-17 10:00:00,54.12,28600.75,5966.55325
2012-01-17 11:00:00,53.98,28936.5,6939.69175
2012-01-17 12:00:00,52.22,29020.75,7236.460000000001
2012-01-17 13:00:00,51.28,28797.25,6767.504
2012-01-17 14:00:00,49.95,28338.0,5642.836499999999
2012-01-17 15:00:00,50.13,28483.5,3987.86625
2012-01-17 16:00:00,53.6,28387.75,2662.407
2012-01-17 17:00:00,61.56,29784.75,2469.505
2012-01-17 18:00:00,68.2,29938.75,2620.2875
2012-01-17 19:00:00,59.24,29582.75,2731.37
2012-01-17 20:00:00,52.15,27799.25,2798.88
2012-01-17 21:00:00,44.57,26822.5,2843.63
2012-01-17 22:00:00,46.73,25618.75,2931.3975
2012-01-17 23:00:00,44.41,23654.25,3076.665
2012-01-18 00:00:00,42.5,21672.0,3172.7275
2012-01-18 01:00:00,41.5,21148.0,3270.3225
2012-01-18 02:00:00,40.29,20950.75,3446.4525
2012-01-18 03:00:00,39.29,21019.0,3699.585
2012-01-18 04:00:00,39.38,21140.25,4002.25
2012-01-18 05:00:00,40.1,22170.5,4427.425
2012-01-18 06:00:00,45.6,25211.75,4764.3875
2012-01-18 07:00:00,54.8,27430.5,5199.6775
2012-01-18 08:00:00,62.75,28532.5,6189.5375
2012-01-18 09:00:00,57.62,28317.0,8780.37375
2012-01-18 10:00:00,47.7,28698.25,11450.25625
2012-01-18 11:00:00,46.32,29084.0,12894.32
2012-01-18 12:00:00,44.59,29204.0,13446.469
2012-01-18 13:00:00,44.0,28977.5,13031.0745
2012-01-18 14:00:00,43.12,28537.0,12116.14125
2012-01-18 15:00:00,44.59,28657.0,10906.2495
2012-01-18 16:00:00,44.3,28574.25,10475.7285
2012-01-18 17:00:00,55.27,29738.0,11047.0575
2012-01-18 18:00:00,47.18,29818.75,12177.1425
2012-01-18 19:00:00,42.05,29300.0,12808.6525
2012-01-18 20:00:00,44.19,27390.5,13044.335
2012-01-18 21:00:00,43.14,26320.5,13057.135
2012-01-18 22:00:00,41.34,25281.25,12826.67
2012-01-18 23:00:00,37.31,23395.0,12635.7075
2012-01-19 00:00:00,32.18,21889.25,12700.31
2012-01-19 01:00:00,31.0,21135.25,11849.9
2012-01-19 02:00:00,31.05,20698.5,11026.56
2012-01-19 03:00:00,31.27,20750.0,10271.4075
2012-01-19 04:00:00,32.7,20757.5,9416.5575
2012-01-19 05:00:00,37.46,21767.25,8685.8025
2012-01-19 06:00:00,46.59,25088.75,8229.4575
2012-01-19 07:00:00,53.2,27596.75,8069.2175
2012-01-19 08:00:00,54.73,28565.5,8188.9285
2012-01-19 09:00:00,54.61,28078.75,8529.0315
2012-01-19 10:00:00,53.2,28435.75,8892.542
2012-01-19 11:00:00,55.97,28905.25,9377.74625
2012-01-19 12:00:00,53.23,28767.25,9768.117
2012-01-19 13:00:00,50.13,28555.0,10449.9095
2012-01-19 14:00:00,45.62,28214.0,11221.5555
2012-01-19 15:00:00,42.57,27884.0,12009.38825
2012-01-19 16:00:00,42.17,27849.0,12794.7235
2012-01-19 17:00:00,50.26,29230.5,13775.77
2012-01-19 18:00:00,57.97,29534.5,14266.175
2012-01-19 19:00:00,53.06,28838.75,14130.3525
2012-01-19 20:00:00,46.78,27306.0,13939.905
2012-01-19 21:00:00,43.34,26056.5,13575.28
2012-01-19 22:00:00,44.33,24791.75,13066.2675
2012-01-19 23:00:00,40.38,22760.25,12335.43
2012-01-20 00:00:00,31.8,21616.0,14198.91
2012-01-20 01:00:00,31.54,20896.5,13762.4675
2012-01-20 02:00:00,30.23,20657.75,13783.805
2012-01-20 03:00:00,27.52,20969.0,14168.6175
2012-01-20 04:00:00,28.05,21305.5,14325.1175
2012-01-20 05:00:00,31.17,22340.5,14583.17
2012-01-20 06:00:00,39.33,25118.25,14818.8125
2012-01-20 07:00:00,45.95,27383.5,14843.9575
2012-01-20 08:00:00,49.91,28343.75,14805.243
2012-01-20 09:00:00,45.87,28315.25,15266.02625
2012-01-20 10:00:00,45.62,28723.75,15914.712
2012-01-20 11:00:00,45.57,28705.0,15925.48775
2012-01-20 12:00:00,46.08,28909.0,15608.97
2012-01-20 13:00:00,45.91,28490.25,14851.35225
2012-01-20 14:00:00,46.47,28237.75,13554.93825
2012-01-20 15:00:00,45.24,27568.5,12015.07375
2012-01-20 16:00:00,47.48,27698.25,10498.45975
2012-01-20 17:00:00,55.07,28809.75,9400.475
2012-01-20 18:00:00,58.46,28761.5,8830.4925
2012-01-20 19:00:00,51.58,27408.0,8525.1175
2012-01-20 20:00:00,46.44,25522.25,8189.7675
2012-01-20 21:00:00,41.49,24576.0,7857.5225
2012-01-20 22:00:00,44.25,23832.25,7513.58
2012-01-20 23:00:00,44.58,22358.5,7199.505
2012-01-21 00:00:00,47.55,20750.5,6711.94
2012-01-21 01:00:00,44.0,19833.0,6480.5675
2012-01-21 02:00:00,39.88,19287.5,6340.665
2012-01-21 03:00:00,35.11,19390.5,6342.85
2012-01-21 04:00:00,33.15,19400.0,6679.2025
2012-01-21 05:00:00,33.06,19357.75,7489.4625
2012-01-21 06:00:00,33.07,19083.5,8588.5175
2012-01-21 07:00:00,35.69,19702.5,9968.0525
2012-01-21 08:00:00,39.56,21190.5,11749.29425
2012-01-21 09:00:00,45.0,22854.75,13695.143
2012-01-21 10:00:00,43.0,23894.0,15351.77525
2012-01-21 11:00:00,40.91,24214.5,16852.56125
2012-01-21 12:00:00,40.54,24381.75,18308.573
2012-01-21 13:00:00,36.89,23654.25,18990.8225
2012-01-21 14:00:00,33.29,23170.0,18952.817
2012-01-21 15:00:00,33.25,22939.25,18660.94075
2012-01-21 16:00:00,34.41,23194.25,18330.73225
2012-01-21 17:00:00,45.06,24125.5,18331.4075
2012-01-21 18:00:00,46.89,24036.5,18412.915
2012-01-21 19:00:00,42.6,23477.25,18522.145
2012-01-21 20:00:00,36.94,22137.25,18783.265
2012-01-21 21:00:00,33.02,21348.0,19103.18
2012-01-21 22:00:00,32.74,21218.0,19575.4625
2012-01-21 23:00:00,16.92,20201.5,20044.915
2012-01-22 00:00:00,27.28,19024.5,19911.425
2012-01-22 01:00:00,12.23,18116.25,20356.235
2012-01-22 02:00:00,0.0,17441.0,20831.22
2012-01-22 03:00:00,-0.05,17393.75,21126.5375
2012-01-22 04:00:00,-3.53,17210.5,21208.535
2012-01-22 05:00:00,-10.05,17003.25,21236.5175
2012-01-22 06:00:00,-100.08,16114.25,21229.550000000003
2012-01-22 07:00:00,-10.0,15774.5,21199.17
2012-01-22 08:00:00,3.05,17533.75,21204.2595
2012-01-22 09:00:00,0.57,18673.75,21730.7515
2012-01-22 10:00:00,12.29,20606.0,22358.597250000003
2012-01-22 11:00:00,28.06,22361.5,22060.5935
2012-01-22 12:00:00,19.94,22697.5,21636.67425
2012-01-22 13:00:00,16.81,21901.75,20661.038
2012-01-22 14:00:00,18.53,21702.5,19106.26625
2012-01-22 15:00:00,18.52,21583.0,17491.966249999998
2012-01-22 16:00:00,22.5,21738.75,16076.39075
2012-01-22 17:00:00,39.93,22943.5,15291.0375
2012-01-22 18:00:00,42.89,23024.0,14841.9625
2012-01-22 19:00:00,45.32,22828.5,14226.055
2012-01-22 20:00:00,38.98,21804.5,13398.3425
2012-01-22 21:00:00,34.4,20883.25,12771.2125
2012-01-22 22:00:00,36.95,20935.75,12255.595
2012-01-22 23:00:00,33.24,19774.5,11997.2425
2012-01-23 00:00:00,31.97,18736.0,10291.7475
2012-01-23 01:00:00,31.32,18388.0,9621.59
2012-01-23 02:00:00,30.95,18157.5,8978.625
2012-01-23 03:00:00,28.04,18511.5,8274.3475
2012-01-23 04:00:00,28.02,18831.5,7727.5125
2012-01-23 05:00:00,31.63,20181.0,7182.785
2012-01-23 06:00:00,41.15,23971.0,6648.057500000001
2012-01-23 07:00:00,52.06,26140.5,6203.02
2012-01-23 08:00:00,55.01,27492.75,6105.451
2012-01-23 09:00:00,50.97,27341.5,6463.0247500000005
2012-01-23 10:00:00,50.79,27768.25,7094.726750000001
2012-01-23 11:00:00,51.51,28245.0,7838.95525
2012-01-23 12:00:00,50.06,28213.0,8167.236
2012-01-23 13:00:00,47.9,27970.25,7939.46675
2012-01-23 14:00:00,46.82,27890.5,7223.11225
2012-01-23 15:00:00,45.07,27697.25,6112.33975
2012-01-23 16:00:00,47.42,27364.75,5304.59575
2012-01-23 17:00:00,55.05,28223.25,4620.395
2012-01-23 18:00:00,60.2,28200.75,4538.3975
2012-01-23 19:00:00,55.15,27546.75,4581.7975
2012-01-23 20:00:00,47.41,25964.0,4618.64
2012-01-23 21:00:00,40.57,24751.75,4566.775
2012-01-23 22:00:00,39.69,23785.0,4469.17
2012-01-23 23:00:00,37.44,22560.75,4170.0325
2012-01-24 00:00:00,40.23,21587.5,3819.285
2012-01-24 01:00:00,38.35,20600.0,3684.59
2012-01-24 02:00:00,35.81,20160.0,3533.735
2012-01-24 03:00:00,34.42,20405.0,3423.8775
2012-01-24 04:00:00,35.16,20708.5,3215.1775
2012-01-24 05:00:00,37.34,21895.5,3044.6875
2012-01-24 06:00:00,42.0,25458.5,2827.9725
2012-01-24 07:00:00,55.07,27907.5,2642.455
2012-01-24 08:00:00,54.93,28490.75,2582.4015
2012-01-24 09:00:00,55.93,28584.0,3071.9515
2012-01-24 10:00:00,54.27,28957.0,3752.97225
2012-01-24 11:00:00,53.99,29407.0,4483.331749999999
2012-01-24 12:00:00,52.97,29682.5,4663.23825
2012-01-24 13:00:00,52.35,29560.25,4320.05225
2012-01-24 14:00:00,51.2,29191.75,3588.27575
2012-01-24 15:00:00,50.97,29167.5,2528.164
2012-01-24 16:00:00,55.08,28972.0,1654.627
2012-01-24 17:00:00,64.5,29846.25,1272.1075
2012-01-24 18:00:00,67.01,29785.5,1206.555
2012-01-24 19:00:00,59.32,29128.0,1121.2625
2012-01-24 20:00:00,52.99,27611.25,1018.55
2012-01-24 21:00:00,47.96,26229.25,930.9075
2012-01-24 22:00:00,47.96,25229.75,872.1575
2012-01-24 23:00:00,44.61,23013.5,891.785
2012-01-25 00:00:00,41.8,21597.25,675.0625
2012-01-25 01:00:00,39.48,20990.25,662.86
2012-01-25 02:00:00,38.27,20484.25,681.99
2012-01-25 03:00:00,37.18,20539.25,709.835
2012-01-25 04:00:00,37.0,20783.25,745.16
2012-01-25 05:00:00,38.5,21945.25,786.0075
2012-01-25 06:00:00,43.16,25482.5,881.005
2012-01-25 07:00:00,58.01,28202.75,1037.1899999999998
2012-01-25 08:00:00,58.04,28750.0,1533.241
2012-01-25 09:00:00,55.07,28792.25,2989.4615
2012-01-25 10:00:00,51.5,29247.0,4880.636
2012-01-25 11:00:00,50.24,29652.0,6105.7035
2012-01-25 12:00:00,47.51,29863.25,6566.6855
2012-01-25 13:00:00,45.87,29763.0,6225.108749999999
2012-01-25 14:00:00,45.13,29311.75,5344.62125
2012-01-25 15:00:00,45.11,29246.75,4031.52325
2012-01-25 16:00:00,46.52,29009.75,3079.524
2012-01-25 17:00:00,58.02,29980.75,2976.2425
2012-01-25 18:00:00,66.09,30019.0,3447.735
2012-01-25 19:00:00,53.99,29431.5,3887.0825
2012-01-25 20:00:00,47.16,27788.75,4211.14
2012-01-25 21:00:00,45.35,26443.5,4483.675
2012-01-25 22:00:00,42.52,25362.0,4723.1275
2012-01-25 23:00:00,40.28,23042.5,4849.8875
2012-01-26 00:00:00,38.86,21464.75,4932.38
2012-01-26 01:00:00,37.73,20975.0,5146.855
2012-01-26 02:00:00,36.45,20472.0,5319.3925
2012-01-26 03:00:00,33.59,20587.5,5520.665
2012-01-26 04:00:00,33.96,20791.25,5803.55
2012-01-26 05:00:00,35.71,21868.25,6208.5975
2012-01-26 06:00:00,42.29,25026.0,6594.9775
2012-01-26 07:00:00,54.54,27565.25,7048.08
2012-01-26 08:00:00,57.78,28169.0,8063.4265
2012-01-26 09:00:00,51.96,27900.5,10402.09125
2012-01-26 10:00:00,48.51,28283.25,12976.8245
2012-01-26 11:00:00,46.3,28543.5,14911.63375
2012-01-26 12:00:00,42.23,28682.5,15678.962
2012-01-26 13:00:00,42.81,28819.0,15256.37875
2012-01-26 14:00:00,43.15,28540.75,14007.289250000002
2012-01-26 15:00:00,45.29,28449.75,11948.06325
2012-01-26 16:00:00,46.26,27991.5,10314.53275
2012-01-26 17:00:00,57.25,28753.5,10107.6675
2012-01-26 18:00:00,58.51,29226.5,10449.075
2012-01-26 19:00:00,55.06,28723.25,10604.375
2012-01-26 20:00:00,49.0,27146.75,10382.87
2012-01-26 21:00:00,42.91,25750.5,9988.025
2012-01-26 22:00:00,44.94,23818.5,9514.0675
2012-01-26 23:00:00,39.29,22102.75,8733.05
2012-01-27 00:00:00,40.58,21318.0,8565.5575
2012-01-27 01:00:00,39.32,20801.25,8008.04
2012-01-27 02:00:00,37.96,20590.5,7431.94
2012-01-27 03:00:00,34.95,20843.5,6878.375
2012-01-27 04:00:00,34.31,21285.5,6386.42
2012-01-27 05:00:00,39.65,22488.25,5851.8475
2012-01-27 06:00:00,42.8,25895.25,5478.075000000001
2012-01-27 07:00:00,51.97,28553.75,5171.515
2012-01-27 08:00:00,55.94,29291.5,5041.0647500000005
2012-01-27 09:00:00,59.15,28917.5,5490.1825
2012-01-27 10:00:00,58.54,28883.0,6139.6145
2012-01-27 11:00:00,56.68,29304.25,6641.5415
2012-01-27 12:00:00,58.0,29066.0,6687.8315
2012-01-27 13:00:00,51.56,28355.5,6249.3945
2012-01-27 14:00:00,47.8,27874.0,5366.18675
2012-01-27 15:00:00,45.34,27434.0,4177.3125
2012-01-27 16:00:00,46.04,27638.0,3274.2782500000003
2012-01-27 17:00:00,59.41,28911.25,2799.5725
2012-01-27 18:00:00,65.04,29247.5,2875.1625
2012-01-27 19:00:00,59.7,28452.5,2956.9275
2012-01-27 20:00:00,47.99,26797.5,2855.19
2012-01-27 21:00:00,44.75,26055.25,2680.32
2012-01-27 22:00:00,47.91,25042.25,2495.8525
2012-01-27 23:00:00,44.75,23080.5,2303.945
2012-01-28 00:00:00,45.5,21035.5,1938.725
2012-01-28 01:00:00,40.97,20459.75,1778.72
2012-01-28 02:00:00,38.81,20189.5,1677.525
2012-01-28 03:00:00,36.57,19841.0,1634.125
2012-01-28 04:00:00,36.58,19731.75,1578.1625
2012-01-28 05:00:00,36.06,19686.0,1525.6775
2012-01-28 06:00:00,36.97,19749.5,1519.9775000000002
2012-01-28 07:00:00,39.99,20896.25,1552.6575
2012-01-28 08:00:00,43.64,22777.5,1692.278
2012-01-28 09:00:00,48.99,24084.25,2254.39225
2012-01-28 10:00:00,51.87,24859.75,3004.1222500000003
2012-01-28 11:00:00,52.39,25069.25,3439.42075
2012-01-28 12:00:00,52.92,24766.75,3663.24475
2012-01-28 13:00:00,49.58,23910.25,3543.73475
2012-01-28 14:00:00,44.29,23431.25,3193.036
2012-01-28 15:00:00,42.64,23279.75,2599.91575
2012-01-28 16:00:00,43.0,23315.75,2124.48375
2012-01-28 17:00:00,53.28,24951.5,2006.5525
2012-01-28 18:00:00,60.42,25754.5,2156.375
2012-01-28 19:00:00,56.99,25082.75,2302.67
2012-01-28 20:00:00,47.98,23815.25,2295.0975
2012-01-28 21:00:00,41.16,22866.25,2198.17
2012-01-28 22:00:00,45.12,22626.25,2097.6225
2012-01-28 23:00:00,42.42,21450.5,1979.5625
2012-01-29 00:00:00,42.52,19428.25,1887.09
2012-01-29 01:00:00,39.24,18837.0,1933.7675
2012-01-29 02:00:00,38.43,18717.0,2094.6875
2012-01-29 03:00:00,35.0,18623.0,2281.235
2012-01-29 04:00:00,33.53,18690.5,2430.3925
2012-01-29 05:00:00,33.38,18444.25,2550.0
2012-01-29 06:00:00,33.74,17784.75,2709.65
2012-01-29 07:00:00,35.12,17852.5,2864.355
2012-01-29 08:00:00,35.88,18850.25,3156.75125
2012-01-29 09:00:00,40.5,20331.75,4012.9315
2012-01-29 10:00:00,44.35,21413.5,5140.3445
2012-01-29 11:00:00,47.99,22743.25,5888.48325
2012-01-29 12:00:00,49.93,22749.75,6466.086499999999
2012-01-29 13:00:00,44.32,22407.5,6552.10475
2012-01-29 14:00:00,40.08,21960.75,6346.28925
2012-01-29 15:00:00,38.07,21677.75,5779.81075
2012-01-29 16:00:00,37.9,21208.25,5371.5085
2012-01-29 17:00:00,45.9,22650.75,5571.2625
2012-01-29 18:00:00,55.97,23616.5,5945.595
2012-01-29 19:00:00,55.78,23419.5,6171.955
2012-01-29 20:00:00,48.96,22817.0,6206.865
2012-01-29 21:00:00,39.16,22010.0,6143.09
